Sample in Buffer,Sample in Window,TRIGGER,axi_imem_rresp[1:0],axi_imem_rdata[31:0],axi_imem_arlen[7:0],axi_dmem_araddr[31:0],axi_dmem_wdata[31:0],axi_imem_araddr[31:0],axi_dmem_wstrb[3:0],axi_dmem_rdata[31:0],axi_dmem_awaddr[31:0],axi_dmem_arvalid,axi_dmem_awready,axi_dmem_awvalid,axi_dmem_bvalid,axi_dmem_rvalid,axi_dmem_wlast,axi_dmem_wvalid,axi_imem_arready,axi_imem_arvalid,axi_imem_rlast,axi_imem_rready,axi_imem_rvalid,uart_irq,uart_rxd,uart_txd
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
1,1,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
2,2,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
3,3,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
4,4,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
5,5,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
6,6,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
7,7,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
8,8,0,0,e2050ee3,00,ff010014,00000043,ffffe46c,f,00000060,ff010000,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
9,9,0,0,fdc18193,00,ff010014,00000000,fffff8a0,f,00000060,ffffce80,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
10,10,0,0,7cc28293,00,ff010014,00000000,fffff8a0,f,00000060,ffffce84,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
11,11,0,0,0002a023,00,ffffce80,00000000,fffff8a0,f,00000060,ffffce88,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
12,12,0,0,62c10113,00,ffffce84,00000000,fffff8a0,f,00000060,ffffce8c,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
13,13,0,0,ffffd317,00,ffffce88,00000000,fffff8a0,f,00000060,ffffce90,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
14,14,0,0,0002a503,00,ffffce8c,00000000,fffff8a0,f,00000060,ffffce94,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
15,15,0,0,8f428293,00,ffffce90,00000000,fffff8a0,f,00000060,ffffce98,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
16,16,0,0,0003a023,00,ffffce94,00000000,fffff8a0,f,00000060,ffffce9c,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
17,17,0,0,00438393,00,ffffce98,00000000,fffff8a0,f,00000060,ffffcea0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
18,18,0,0,00438393,00,ffffce9c,00000000,fffff8a0,f,00000060,ffffcea4,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
19,19,0,0,00438393,00,ffffcea0,00000000,fffff8a0,f,00000060,ffffcea8,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
20,20,0,0,00438393,00,ffffcea4,00000000,fffff8a0,f,00000060,ffffceac,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
21,21,0,0,00438393,00,ffffcea8,00000000,fffff8a0,f,00000060,ffffceb0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
22,22,0,0,00438393,00,ffffceac,00000000,fffff8a0,f,00000060,ffffceb4,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
23,23,0,0,00438393,00,ffffceb0,00000000,fffff8a0,f,00000060,ffffceb8,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
24,24,0,0,00438393,00,ffffceb4,00000000,fffff8a0,f,00000060,ffffcebc,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
25,25,0,0,00438393,00,ffffceb8,00000000,fffff8a0,f,00000060,ffffcec0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
26,26,0,0,00438393,00,ffffcebc,00000000,fffff8a0,f,00000060,ffffcec4,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
27,27,0,0,00438393,00,ffffcec0,00000000,fffff8a0,f,00000060,ffffcec8,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
28,28,0,0,00438393,00,ffffcec4,00000000,fffff8a0,f,00000060,ffffcecc,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
29,29,0,0,00438393,00,ffffcec8,00000000,fffff8a0,f,00000060,ffffced0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
30,30,0,0,00438393,00,ffffcecc,00000000,fffff8a0,f,00000060,ffffced4,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
31,31,0,0,00438393,00,ffffced0,00000000,fffff8a0,f,00000060,ffffced8,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
32,32,0,0,00438393,00,ffffced4,00000000,fffff8a0,f,00000060,ffffcedc,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
33,33,0,0,00438393,00,ffffced8,00000000,fffff8a0,f,00000060,ffffcee0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
